seller_id,count_customers
6560211a19b47992c3666cc44a7e94c0,1817
4a3ca9315b744ce9f8e9374361493884,1790
cc419e0650a3c5ba77189a1882b7556a,1648
1f50f920176fa81dab994f9023523100,1387
955fee9216a65b617aa5c0531780ce60,1281
da8622b14eb17ae2831f4ac5b9dab84a,1275
7a67c85e85bb2ce8582c35f2203ad736,1154
ea8482cd71df3c1969d7b9473ff13abc,1132
4869f7a5dfa277a7dca6462dcf3b52b2,1123
3d871de0142ce09b7081e2b9d1733cb1,1070
7c67e1448b00f6e969d365cea6b010ab,971
8b321bb669392f5163d04c59e235e066,938
1025f0e2d44d7041d6cf58b6550e0bfa,899
620c87c171fb2a6dd6e8bb4dec959fc6,720
a1043bafd471dff536d0c462352beb48,711
cca3071e3e9bb7d12640c9fbe2301306,699
f8db351d8c4c4c22c6835c19a46f01b0,663
e9779976487b77c6d4ac45f75ec7afe9,643
fa1c13f2614d7b5c4749cbc52fecda94,581
7d13fca15225358621be4086e1eb0964,564
128639473a139ac0f3e5f5ade55873a5,532
391fc6631aebcf3004804e51b40bcf1e,523
46dc3b2cc0980fb8ec44634e21d2718e,518
d2374cbcbb3ca4ab1086534108cc3ab7,508
85d9eb9ddc5d00ca9336a2219c97bb13,506
d91fb3b7d041e83b64a00a3edfb37e4f,491
53e4c6e0f4312d4d2107a8c9cddf45cd,462
1835b56ce799e6a4dc4eddc053f04066,421
4e922959ae960d389249c378d1c939f5,419
1900267e848ceeba8fa32d80c1a5f5a8,403
dbc22125167c298ef99da25668e1011f,401
16090f2ca825584b5a147ab24aa30c86,400
9f505651f4a6abe901a56cdc21508025,394
2138ccb85b11a4ec1e37afbd1c8eda1f,390
06a2c3af7b3aee5d69171b0e14f0ee87,388
8160255418d5aaa7dbdc9f4c64ebda44,383
218d46b86c1881d022bce9c68a7d4b15,378
8581055ce74af1daba164fdbd55a40de,376
4d6d651bd7684af3fffabd5f08d12e5a,355
c826c40d7b19f62a09e2d7c5e7295ee2,354
53243585a1d6dc2643021fd1853d8905,349
92eb0f42c21942b6552362b9b114707d,339
de722cd6dad950a92b7d4f82673f8833,338
7299e27ed73d2ad986de7f7c77d919fa,335
b2ba3715d723d245138f291a6fe42594,332
7e93a43ef30c4f03f38b393420bc753a,332
7ddcbb64b5bc1ef36ca8c151f6ec77df,331
ef506c96320abeedfb894c34db06f478,322
5dceca129747e92ff8ef7a997dc4f8ca,320
7142540dd4c91e2237acb7e911c4eba2,316
77530e9772f57a62c906e1c21538ab82,315
70a12e78e608ac31179aea7f8422044b,314
897060da8b9a21f655304d50fd935913,312
855668e0971d4dfd7bef1b6a4133b41b,307
87142160b41353c4e5fca2360caf6f92,302
fa40cc5b934574b62717c68f3d678b6d,301
fe2032dab1a61af8794248c8196565c9,293
37be5a7c751166fbc5f8ccba4119e043,268
c3cfdc648177fdbbbb35635a37472c53,266
634964b17796e64304cadf1ad3050fb7,261
4c2b230173bb36f9b240f2b8ac11786e,256
562fc2f2c2863ab7e79a9e4388a58a14,256
1da3aeb70d7989d1e6d9b0e887f97c23,255
c70c1b0d8ca86052f45a432a38b73958,253
17e34d8224d27a541263c4c64b11a56b,252
a3a38f4affed601eb87a97788c949667,252
1554a68530182680ad5c8b042c3ab563,243
88460e8ebdecbfecb5f9601833981930,241
c3867b4666c7d76867627c2f7fb22e21,238
0241d4d5d36f10f80c644447315af0bd,235
dc4a0fc896dc34b0d5bfec8438291c80,230
37515688008a7a40ac93e3b2e4ab203f,228
0ea22c1cfbdc755f86b9b54b39c16043,221
f7ba60f8c3f99e7ee4042fdef03b70c4,219
4b9750c8ad28220fe6702d4ecb7c898f,217
e5a3438891c0bfdb9394643f95273d8e,216
7aa4334be125fcdd2ba64b3180029f14,214
d1c281d3ae149232351cd8c8cc885f0d,212
e9bc59e7b60fc3063eb2290deda4cced,212
8d956fec2e4337affcb520f56fd8cbfd,210
7040e82f899a04d1b434b795a43b4617,209
4830e40640734fc1c52cd21127c341d4,208
6edacfd9f9074789dad6d62ba7950b9c,207
cab85505710c7cb9b720bceb52b01cee,204
7178f9f4dd81dcef02f62acdf8151e01,203
2eb70248d66e0e3ef83659f71b244378,201
e26901d5ab434ce92fd9b5c256820a4e,200
001cca7ae9ae17fb1caed9dfb1094831,200
1c129092bf23f28a5930387c980c0dfc,200
ceaec5548eefc6e23e6607c5435102e7,199
54a1852d1b8f10312c55e906355666ee,197
c003204e1ab016dfa150abc119207b24,197
41b39e28db005d9731d9d485a83b4c38,191
f262cbc1c910c83959f849465454ddd3,190
f457c46070d02cadd8a68551231220dd,190
850f4f8af5ea87287ac68de36e29107f,187
f45122a9ab94eb4f3f8953578bc0c560,186
ccc4bbb5f32a6ab2b7066a4130f114e3,186
0c8380b62e38e8a1e6adbeba7eb9688c,180
86ccac0b835037332a596a33b6949ee1,178
813348c996469b40f2e028d5429d3495,178
7d76b645482be4a332374e8223836592,176
95e03ca3d4146e4011985981aeb959b9,174
9b013e03b2ab786505a1d3b5c0756754,173
522620dcb18a6b31cd7bdf73665113a9,173
5656537e588803a555b8eb41f07a944b,173
1a3df491d1c4f1589fc2b934ada68bf2,167
6d66611d7c44cc30ce351abc49a68421,165
d98eec89afa3380e14463da2aabaea72,165
edb1ef5e36e0c8cd84eb3c9b003e486d,164
2e1c9f22be269ef4643f826c9e650a52,164
cbd996ad3c1b7dc71fd0e5f5df9087e2,164
0b90b6df587eb83608a64ea8b390cf07,163
669ae81880e08f269a64487cfb287169,161
2528513dd95219a6013d4d05176e391a,160
2a84855fd20af891be03bc5924d2b453,160
0dd184061fb0eaa7ca37932c68ab91c5,160
b76dba6c951ab00dc4edf0a1aa88037e,159
537eb890efff034a88679788b647c564,159
de23c3b98a88888289c6f5cc1209054a,159
0be8ff43f22e456b4e0371b2245e4d01,157
004c9cd9d87a3c30c522c48c4fc07416,157
a416b6a846a11724393025641d4edd5e,156
213b25e6f54661939f11710a6fddb871,155
9c0e69c7bf2619675bbadf47b43f655a,155
36a968b544695394e4e9d7572688598f,153
b33e7c55446eabf8fe1a42d037ac7d6d,152
25c5c91f63607446a97b143d2d535d31,152
66922902710d126a0e7d26b0e3805106,151
8f2ce03f928b567e3d56181ae20ae952,151
5cf13accae3222c70a9cac40818ae839,149
b499c00f28f4b7069ff6550af8c1348a,149
6cd68b3ed6d59aaa9fece558ad360c0a,149
7ad32824caee82087b3e2e5f33b1bf32,149
7e1fb0a3ebfb01ffb3a7dae98bf3238d,147
cfb1a033743668a192316f3c6d1d2671,146
44073f8b7e41514de3b7815dd0237f4f,144
b4ffb71f0cb1b1c3d63fad021ecf93e1,142
8b28d096634035667e8263d57ba3368c,141
3c7c4a49ec3c6550809089c6a2ca9370,140
1c68394e931a64f90ea236c5ea590300,138
48436dade18ac8b2bce089ec2a041202,138
259f7b5e6e482c230e5bfaa670b6bb8f,138
5a8e7d5003a1f221f9e1d6e411de7c23,137
79ebd9a61bac3eaf882805ed4ecfa12a,135
0bae85eb84b9fb3bd773911e89288d54,135
db4350fd57ae30082dec7acbaacc17f9,135
ce27a3cc3c8cc1ea79d11e561e9bebb6,135
00ee68308b45bc5e2660cd833c3f81cc,134
12b9676b00f60f3b700e83af21824c0e,134
710e3548e02bc1d2831dfc4f1b5b14d4,134
7722b1df1b0e383e000397b2c11e3e19,133
0db783cfcd3b73998abc6e10e59a102f,132
a3e9a2c700480d9bb01fba070ba80a0e,130
e9d99831abad74458942f21e16f33f92,130
01fdefa7697d26ad920e9e0346d4bd1b,129
ef0ace09169ac090589d85746e3e036f,129
aafe36600ce604f205b86b5084d3d767,129
8a32e327fe2c1b3511609d81aaf9f042,128
c9c7905cffc4ef9ff9f113554423e671,127
a673821011d0cec28146ea42f5ab767f,126
7008613ea464bad5cb9b83456e1e6a8f,126
6a8b085f816a1f75f92dbac6eb545f8f,126
59fb871bf6f4522a87ba567b42dafecf,126
59b22a78efb79a4797979612b885db36,125
2c9e548be18521d1c43cde1c582c6de8,125
cd68562d3f44870c08922d380acae552,124
2e90cb1677d35cfe24eef47d441b7c87,124
76d5af76d0271110f9af36c92573f765,124
17a053fcb14bd219540cbde0df490be0,124
080102cd0a76b09e0dcf55fcacc60e05,123
1e8b33f18b4f7598d87f5cbee2282cc2,123
dd7ddc04e1b6c2c614352b383efe2d36,122
c31eff8334d6b3047ed34bebd4d62c36,122
e5a38146df062edaf55c38afa99e42dc,121
18a349e75d307f4b4cc646a691ed4216,118
229c3efbfb0ea2058de4ccdfbc3d784a,118
bfd27a966d91cfaafdb25d076585f0da,117
f80edd2c5aaa505cc4b0a3b219abf4b8,117
431af27f296bc6519d890aa5a05fdb11,117
